PartitionKey,RowKey,Category,Category_type,CategoryDescription,CategoryDescription_type,DefaultTeam,DefaultTeam_type,Organization,Organization_type,Service,Service_type,Type,Type_type
2017db8e-d8c8-4e94-8bde-30bf3121774b,8c767f0f-8f3b-4f06-882f-e69a626cb6ff,Issues with Cisco Nexus Switch,String,Issues with Cisco Nexus Switch,String,Network,String,ContosoInc,String,Cisco Nexus Switch,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8c806ac4-b483-4bff-9d40-fa77f9645c11,Request Access SCCM,String,Request Access SCCM,String,Infrastructure Windows,String,ContosoInc,String,SCCM,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8c98daaf-c1fe-472a-9788-d517f166745d,Request Access to PHIX,String,Request Access to PHIX,String,Solution Desk,String,ContosoInc,String,PHIX,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8ce4780c-513a-4aa8-bb49-ef717f67e18c,ASN & PO Routing Requests and Issues,String,ASN & PO Routing Requests and Issues,String,Distribution Systems,String,ContosoInc,String,WM,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8d301c14-d996-43ff-8dcb-11db5e48421f,Inventory for a product is not correct in the BCC (ATG),String,inventory for a product is not correct in the BCC (ATG),String,Integration,String,ContosoInc,String,Dot Com Product Issues,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8e07f12d-be45-405c-9368-376926bdd522,Unable to Access Microstrategy,String,Unable to Access Microstrategy,String,Solution Desk,String,ContosoInc,String,Microstrategy,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8e19fe96-1ab3-445e-aa50-a0e5f9505853,Whitelist - Web Domain,String,Whitelist - Web Domain,String,IT Security,String,ContosoInc,String,Whitelist,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8ea17be6-067b-4a75-ba05-4cdaf5418128,Report any issues with Jesta OBIEE,String,Report any issues with Jesta OBIEE,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada - Jesta OBIEE,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8ea4e0fb-0f1f-4c7f-b657-d3046a637774,DB Canada -Request POS Discount Button,String,Request POS Discount Button,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada POS Discount Button,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8eb979a1-908d-49c2-8376-fe6cc8ef71ca,Data Center Hardware Failure,String,Data Center Hardware Failure,String,San Operations,String,ContosoInc,String,Data Center Facilities,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8f4c70bb-ece4-4754-af43-dab188f2fe8a,ABS - Customer /Ship To Adds and Changes,String,ABS - Customer Routing management,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8f5d8536-53e6-493b-8a52-d4e774024573,Request Access to OMOC,String,Request Access to OMOC,String,Solution Desk,String,ContosoInc,String,OMOC,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8f6bc1bb-1487-43d3-9d4d-dc8e222fe027,Request Access to Vantiv IQ Portal,String,Access to Vantiv Litle or Tamdem,String,Digital Cloud Applications,String,ContosoInc,String,Vantiv iQ,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8f949fee-e6af-4b0c-b923-2909f2eadae1,Request Access to Tableau,String,Request Access to Merchant Workbench Tableau,String,Solution Desk,String,ContosoInc,String,Tableau,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8fe58c62-637b-4201-8327-8d4bd9674714,APEX Issues,String,Report issues with APEX application,String,Digital Cloud Applications,String,ContosoInc,String,Apex,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,908607dd-23f2-405d-8a76-24c0ee5e2046,Request Employee ID for Consultant,String,Request your contractor's employee ID.  This is required BEFORE you can request further application access.,String,HR Systems,String,ContosoInc,String,Onboarding,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,908cbce4-cfbb-4db0-bcf3-8dadec845d94,Microstrategy - ECLC Data Issue,String,ECLC Data Issue,String,ABS,String,ContosoInc,String,Microstrategy,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,90beb1f8-db4a-499e-8999-febcc70df83d,SOC Login Issue,String,"Password issue, cant log into SOC, Store Operations Center",String,SOC Support,String,ContosoCanada,String,Store Operations Center (SOC),String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,91232245-3088-433c-b90a-022512fd995d,WM -Wave Related Issues,String,WM -Wave Related Issues,String,DC Support,String,ContosoInc,String,Warehouse Management,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,916370d9-86a4-43d7-8e0a-91e8bbc384a2,Request Access to DocuSign,String,Access to DocuSign for electronic signatures,String,Solution Desk,String,ContosoInc,String,DocuSign,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,91beada1-0e99-4f02-a844-b2aae76cd8d3,Enterprise Planning Not Responding,String,EP Enterprise Planning is not responding,String,Merchandise Planning,String,ContosoInc,String,Enterprise Planning,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,91d9be20-9bac-42c2-8fbf-e700d7195330,Request ContosoInc Associate ID,String,Use this to request your ContosoInc Associate ID,String,Solution Desk,String,ContosoCanada,String,ContosoInc Associate ID,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,92ccb42f-1987-4c38-9f7d-4739c4acc860,Evidence Generation -Control Evidence,String,Evidence Generation -Control Evidence,String,IT Security,String,ContosoInc,String,Evidence Generation,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,932a557e-bb00-46cd-85bc-52a2654f26fc,Camuto & DISCO Integration,String,Camuto & DISCO Integration,String,Camuto EDI Support,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,9331dcad-815d-41bb-bac5-4bec57e98a68,ADP Timeclock,String,Unable to Clock In/Out of ADP,String,ADP Time Support,String,"ContosoInc, Stores",String,ADP Timekeeping,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,933dab07-ad5e-48f3-ab76-f72a50ea254b,"Case picking, Donor case picking, Pallet picking",String,"Case picking, Donor case picking, Pallet picking",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,933db510-3bbe-49b8-8e16-f0f27c525bc7,BCC Issues,String,"Help with BCC Deployment Failures, Data Updates, Project Creations, etc",String,Digital ATG,String,ContosoInc,String,BCC,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,935df6c4-d3d9-4370-b3f5-162c60391e65,Data Warehouse - Data Issues,String,Data Warehouse issues,String,Cloud Data Engineering,String,ContosoInc,String,Data Warehouse,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,952c2cb8-93a1-4392-9d52-c0ce252f25db,Request Access for Medallia,String,Front door access to Medallia,String,Solution Desk,String,ContosoInc,String,Medallia,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,953ed87e-3c5f-49b9-9911-85740d585e60,"Report issues with Peripherials like your mouse, keyboard, dock  etc",String,"Report issues with Peripherials like your mouse, keyboard, dock  etc",String,Solution Desk,String,ContosoInc,String,Peripherals,String,Incident,Binary
